jockey,derby_starts,wins,top3,win_pct,top3_pct,win_years,notes
John Velazquez,23,4,11,17.4,47.8,"2011,2017,2020,2021*",Hall of Fame; most Derby starts active
Calvin Borel,12,3,6,25.0,50.0,"2007,2009,2010",Rail specialist; retired
Mike Smith,28,3,9,10.7,32.1,"2005,2018,2023*",Hall of Fame; Big Brown/Justify/Giacomo
Victor Espinoza,16,3,7,18.8,43.8,"2014,2015,2016*","California Chrome, American Pharoah"
Mario Gutierrez,4,2,3,50.0,75.0,"2012,2016","I'll Have Another, Nyquist"
Joel Rosario,14,2,5,14.3,35.7,"2013,2023","Orb, Mage"
Javier Castellano,18,1,5,5.6,27.8,2023,Mage; Hall of Fame
Flavien Prat,8,1,4,12.5,50.0,2019,Country House (DQ beneficiary)
Brian Hernandez Jr.,7,1,3,14.3,42.9,2024,Mystik Dan
Junior Alvarado,5,1,2,20.0,40.0,2025,Sovereignty
Todd Todd Pletcher,65,2,14,3.1,21.5,"2010,2017","Most Derby starts all-time trainer; Super Saver, Always Dreaming"
Kent Desormeaux,14,1,4,7.1,28.6,2008,Big Brown
Luis Saez,7,0,2,0.0,28.6,,Maximum Security (DQ'd 2019)
Irad Ortiz Jr.,8,0,2,0.0,25.0,,Strong overall jockey; no Derby win yet
Jose Ortiz,6,0,2,0.0,33.3,,
Florent Geroux,7,1,3,14.3,42.9,2021*,Mandaloun (declared winner post-DQ)
Garrett Gomez,10,0,4,0.0,40.0,,Hall of Fame; retired
Robby Albarado,11,0,3,0.0,27.3,,
Edgar Prado,15,1,4,6.7,26.7,2006,Barbaro
Sonny Leon,1,1,1,100.0,100.0,2022,Rich Strike 80-1 shot; journeyman jockey
Gary Stevens,16,3,8,18.8,50.0,"1988,1995,1998",Hall of Fame; came out of retirement 2013-2016
Ramon Dominguez,5,0,2,0.0,40.0,,Retired due to injury
Corey Nakatani,7,0,2,0.0,28.6,,Retired
