post,wins,starts,top3,win_pct,top3_pct,notes
1,3,95,18,3.2,18.9,No winner since Ferdinand 1986
2,5,95,21,5.3,22.1,
3,5,95,20,5.3,21.1,Mystik Dan 2024
4,7,95,22,7.4,23.2,
5,10,95,26,10.5,27.4,"Most winners all-time; Chrome 2014, Always Dreaming 2017"
6,7,95,24,7.4,25.3,
7,8,95,23,8.4,24.2,Mandaloun 2021
8,9,95,25,9.5,26.3,Mage 2023; tied 2nd most wins
9,7,95,22,7.4,23.2,
10,9,95,28,9.5,29.5,High top-3 rate; Justify 2018
11,6,95,21,6.3,22.1,
12,6,90,20,6.7,22.2,
13,5,90,18,5.6,20.0,
14,6,90,19,6.7,21.1,Authentic 2020
15,4,88,16,4.5,18.2,
16,5,88,17,5.7,19.3,Sovereignty 2025
17,0,88,8,0.0,9.1,No winner ever from post 17
18,3,75,12,4.0,16.0,
19,2,65,10,3.1,15.4,
20,2,55,9,3.6,16.4,Rich Strike 2022 (late entry)
