sire,derby_runners,wins,top3,win_pct,top3_pct,notes
Into Mischief,12,3,7,25.0,58.3,"Dominant modern sire; Authentic, Mandaloun, others"
Tapit,10,0,5,0.0,50.0,Excellent top-3 but no Derby win; top sire overall
Curlin,8,1,4,12.5,50.0,Sovereignty 2025; strong stamina sire
Gun Runner,5,0,3,0.0,60.0,Emerging young sire; high top-3 rate
Pioneerof the Nile,7,0,3,0.0,42.9,Sire of American Pharoah
Medaglia d'Oro,6,0,3,0.0,50.0,Journalism 2025; quality sire
Empire Maker,5,0,3,0.0,60.0,"Bodemeister, Pioneerof the Nile progeny"
Hard Spun,6,0,3,0.0,50.0,Two Phil's 2023; consistent producer
Scat Daddy,4,1,2,25.0,50.0,Justify 2018; died young
Good Magic,2,1,1,50.0,50.0,Mage 2023; first crop sire
A.P. Indy,5,0,2,0.0,40.0,Legacy sire; now through sons
Dynaformer,4,1,2,25.0,50.0,Barbaro 2006; stamina-heavy
Storm Cat,5,0,2,0.0,40.0,Speed influence; mostly through daughters now
Afleet Alex,4,0,2,0.0,50.0,
Lucky Pulpit,2,1,1,50.0,50.0,California Chrome 2014; small sample
Lookin at Lucky,3,1,2,33.3,66.7,Country House 2019; Always Dreaming dam sire
Birdstone,2,1,1,50.0,50.0,Mine That Bird 2009
Flower Alley,2,1,1,50.0,50.0,I'll Have Another 2012
Uncle Mo,3,1,1,33.3,33.3,Nyquist 2016
Constitution,2,0,2,0.0,100.0,Tiz the Law; small sample
Keen Ice,1,1,1,100.0,100.0,Rich Strike 2022; single runner
Goldencents,1,1,1,100.0,100.0,Mystik Dan 2024; single runner
Not This Time,3,0,1,0.0,33.3,Epicenter 2022 runner-up
Upstart,2,0,1,0.0,50.0,Zandon 2022
