trainer,derby_starts,wins,top3,win_pct,top3_pct,win_years,notes
Todd Pletcher,65,2,14,3.1,21.5,"2010,2017","Most starts all-time; Super Saver, Always Dreaming"
Bob Baffert,40,6,18,15.0,45.0,"1997,2002,2015,2018,2020,2021*",All-time wins record tied; Silver Charm through Authentic
Steve Asmussen,28,0,6,0.0,21.4,,Most wins trainer in NA history; no Derby win
Brad Cox,14,1,6,7.1,42.9,2021*,Mandaloun (declared); rising star trainer
Chad Brown,10,0,4,0.0,40.0,,Turf specialist; strong top-3 rate on dirt
Bill Mott,18,1,5,5.6,27.8,"2019,2025","Country House (DQ), Sovereignty; Hall of Fame"
Doug O'Neill,10,2,4,20.0,40.0,"2012,2016","I'll Have Another, Nyquist"
Shug McGaughey,20,1,5,5.0,25.0,2013,Orb; Hall of Fame; Phipps Stable trainer
Graham Motion,5,1,2,20.0,40.0,2011,Animal Kingdom; turf background
Art Sherman,3,1,1,33.3,33.3,2014,California Chrome; oldest trainer to win Derby at 77
Carl Nafzger,5,1,2,20.0,40.0,2007,Street Sense; also trained Unbridled 1990
Michael Matz,4,1,2,25.0,50.0,2006,Barbaro; former Olympic equestrian rider
Kiaran McLaughlin,12,0,3,0.0,25.0,,Shadwell/Godolphin trainer
John Shirreffs,6,1,2,16.7,33.3,2005,Giacomo; low-volume but efficient
Mark Casse,9,0,3,0.0,33.3,,Canadian-based; strong prep races
Kenneth McPeek,8,1,3,12.5,37.5,2024,Mystik Dan; consistent Derby presence
Eric Reed,2,1,1,50.0,50.0,2022,Rich Strike; small operation
Gustavo Delgado,1,1,1,100.0,100.0,2023,Mage; Venezuelan trainer first Derby win
Barclay Tagg,4,0,2,0.0,50.0,,Tiz the Law 2020; veteran trainer
Jerry Hollendorfer,6,0,2,0.0,33.3,,Banned by several tracks 2019
Tim Ritchey,3,0,2,0.0,66.7,,Afleet Alex 2005
Bennie Woolley Jr.,2,1,1,50.0,50.0,2009,Mine That Bird; small barn
Richard Dutrow Jr.,4,1,2,25.0,50.0,2008,Big Brown; later suspended
