year,finish,horse,jockey,trainer,owner,sire,dam,dam_sire,odds,field_size,notes
2005,1,Giacomo,Mike Smith,John Shirreffs,Jerry & Ann Moss,Holy Bull,Set Them Free,Stop the Music,50.3,20,Massive longshot upset
2005,2,Closing Argument,Julien Leparoux,Todd Pletcher,Harry T. Mangurian Jr.,Successful Appeal,Lovlier Linda,Valid Appeal,71.3,20,
2005,3,Afleet Alex,Jeremy Rose,Tim Ritchey,Cash is King LLC,Northern Afleet,Maggy Hawk,Hawkster,6.0,20,Stumbled at Preakness but stayed upright
2005,4,Don't Get Mad,Richard Migliore,Nick Zito,Frank Stronach,Lord Carson,Mad About You,Crafty Prospector,32.9,20,
2005,5,High Fly,Robby Albarado,Todd Pletcher,Stronach Stables,Yankee Victor,High Fly Girl,Flying Continental,18.2,20,
2006,1,Barbaro,Edgar Prado,Michael Matz,Roy & Gretchen Jackson,Dynaformer,La Ville Rouge,Carson City,5.7,20,Broke down at Preakness; national story
2006,2,Bluegrass Cat,John Velazquez,Todd Pletcher,Stonerside Stable,Storm Cat,Blue Jean Baby,A.P. Indy,14.3,20,
2006,3,Steppenwolfer,Cornelio Velasquez,Brendan Walsh,Frank Stronach,Giant's Causeway,Arabella,Sky Classic,13.2,20,
2006,4,Jazil,Fernando Jara,Kiaran McLaughlin,Shadwell Stable,Seeking the Gold,Better Than Honour,Deputy Minister,12.6,20,Went on to win Belmont
2006,5,Sinister Minister,Robby Albarado,Todd Pletcher,Stonerside Stable,Old Trieste,Sinderella,Sindelar,24.1,20,
2007,1,Street Sense,Calvin Borel,Carl Nafzger,James B. Tafel,Street Cry,Bedazzle,Dixieland Band,4.9,20,
2007,2,Hard Spun,Mario Gutierrez,Larry Jones,Robert Narrow,Danzig,Turkish Tryst,Turkoman,5.3,20,
2007,3,Curlin,Robby Albarado,Steve Asmussen,Midnight Cry Stable et al.,Smart Strike,Sheriff's Deputy,Deputy Minister,18.6,20,Horse of the Year; legendary career
2007,4,Tiago,Garrett Gomez,John Shirreffs,Michael Cooper,Awesome Again,Prom Night,Forty Niner,27.0,20,
2007,5,Sedgefield,Julien Leparoux,Shug McGaughey,Darley Stable,Giant's Causeway,Mountain Top,Seeking the Gold,40.3,20,
2008,1,Big Brown,Kent Desormeaux,Richard Dutrow Jr.,IEAH Stables & Paul Pompa Jr.,Boundary,Mien,Nureyev,2.1,20,Triple Crown near-miss; lost Belmont
2008,2,Eight Belles,Gabriel Saez,Larry Jones,Rick Porter,El Prado,Away,Roanoke,14.2,20,Filly; broke both ankles after race; euthanized
2008,3,Denis of Cork,Alan Garcia,Todd Pletcher,Stonerside Stable,Johannesburg,Dazzling Falls,Dynaformer,13.3,20,
2008,4,Tale of Ekati,Javier Castellano,Todd Pletcher,Eclipse Thoroughbred Partners,Tale of the Cat,Winter Garden,Dixieland Band,9.6,20,
2008,5,Colonel John,Garrett Gomez,Eoin Harty,Mark & Jill Sellers,Tiznow,Toussaud,El Gran Senor,8.6,20,
2009,1,Mine That Bird,Calvin Borel,Bennie Woolley Jr.,Buena Suerte Equine et al.,Birdstone,Mining My Own,Smart Strike,50.25,19,Massive 50-1 longshot
2009,2,Pioneerof the Nile,Garrett Gomez,Bob Baffert,Zayat Stables,Empire Maker,Star of the Nile,Dixie Union,7.6,19,Sire of American Pharoah
2009,3,Musket Man,Eddie Castro,Dave Vance,Randy Hartley & Dean De Renzo,Henny Hughes,Stormette,Storm Boot,23.3,19,
2009,4,Mr. Hot Stuff,Jesus Castanon,Todd Pletcher,Dogwood Stable,Eurosilver,Mizzou,Langfuhr,32.7,19,
2009,5,Flying Private,Ramon Dominguez,Todd Pletcher,Team Valor International,Storm Boot,Flying Dixie,Dixieland Band,18.4,19,
2010,1,Super Saver,Calvin Borel,Todd Pletcher,WinStar Farm,Maria's Mon,Supercharger,A.P. Indy,8.6,20,
2010,2,Ice Box,Rajiv Maragh,Todd Pletcher,Millennium Farms,Aptitude,Snowboarder,Cozzene,6.0,20,
2010,3,Paddy O'Prado,Garrett Gomez,Dale Romans,Ron Sanchez,El Prado,Acey Deucy,Pleasant Colony,12.4,20,
2010,4,Make Music for Me,Julien Leparoux,Tom Amoss,Midwest Thoroughbreds,Came Home,Chic Shirine,Shirocco,20.1,20,
2010,5,Stately Victor,John Velazquez,Todd Pletcher,Phipps Stable,A.P. Indy,Viviana,Caro,12.8,20,
2011,1,Animal Kingdom,John Velazquez,Graham Motion,Team Valor International,Leroidesanimaux,Dalicia,Acatenango,20.7,19,Turf-bred colt won on dirt
2011,2,Nehro,Corey Nakatani,Steve Asmussen,Ahmed Zayat,AP Indy,Nehrova,Nureyev,10.2,19,
