year,finish,horse,jockey,trainer,pp,odds,pos_quarter,pos_half,pos_3q,pos_1m,pos_stretch,pos_finish,frac_quarter,frac_half,frac_3q,frac_1m,final_time,track_condition,sire,dam,dam_sire,comments
1991,1,Strike the Gold,"Antley, Chris","Zito, Nicholas",5,4.80,11,12,10,6,1,1,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,Alydar,Majestic Gold,Hatchet Man,"6w rally,driftd,drvg"
1991,2,Best Pal,"Stevens, Gary","Jory, Ian",15,5.20,9,8,7,3,2,2,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,angled inside fin well
1991,3,Mane Minister,"Solis, Alex","Gonzalez, J.",10,86.90,7,10,5,2,3,3,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"five wide, fin well"
1991,4,Green Alligator,"Nakatani, Corey","Johnson, Murray",8,16.30,16,16,15,6,4,4,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,angled out late
1991,5,Fly So Free,"Santos, Jose","Schulhofer, Flint",1,3.30,4,4,3,4,4,5,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"came in 1/2, no rally"
1991,6,Quintana,"Cordero, Angel","Cross, David",16,28.50,12,13,12,10,7,6,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"shuffled back,fin well"
1991,7,Paulrus,"Sellers, Shane","Penrod, Steven",11,16.30,14,14,14,13,8,7,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,closed well inside
1991,8,Sea Cadet,"McCarron, Chris","McAnally, Ronald",4,15.90,1,1,1,1,5,8,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,set pace upper str
1991,9,Corporate Report,"Day, Pat","Lukas, D.",12,8.70,2,3,4,2,9,9,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"pressed pace, weakened"
1991,10,Hansel,"Bailey, Jerry","Brothers, Frank",6,2.50,6,6,7,3,10,10,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,gave way readily
1991,11,Happy Jazz Band,"Asmussen, Cash","Gleaves, Philip",14,107.80,13,11,11,14,11,11,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,passed tiring rivals
1991,12,Lost Mountain,"McCauley, Herb","Bohannan, Thomas",9,72.60,8,7,9,8,12,12,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"steadied 1/2,tired"
1991,13,Another Review,"Madrid, Art","Campo, John",13,16.30,10,9,13,12,13,13,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,failed to menace
1991,14,Alydavid,"Black, Corey","Hauswald, Philip",2,17.80,5,5,6,11,14,14,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"bumped, tired"
1991,15,Wilder Than Ever,"Deegan, Joseph","Churchman, John",3,16.30,15,15,16,15,15,15,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,failed to menace
1991,16,Forty Something,"Seefeldt, Andrea","Vardon, Reginald",7,16.30,3,2,2,16,16,16,23.26,46.58,1:11.35,1:37.51,2:03.08,Fast,,,,"dueled, stopped"
1992,1,Lil E. Tee,"Day, Pat","Whiting, Lynn",10,16.80,11,10,10,5,2,1,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,At the Threshold,Eileen's Moment,For The Moment,"circled field,driving"
1992,2,Casual Lies,"Stevens, Gary","Riley, Shelley",4,29.90,3,6,4,3,1,2,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,,,,"gamely, second best"
1992,3,Dance Floor,"Antley, Chris","Lukas, D.",16,33.30,5,1,1,1,3,3,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,,,,"set pace, gave way"
1992,4,Conte Di Savoya,"Sellers, Shane","Jolley, LeRoy",8,21.30,12,11,8,7,6,4,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,,,,"settled, late rally"
1992,5,Pine Bluff,"Perret, Craig","Bohannan, Thomas",12,10.50,4,4,2,4,4,5,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,,,,"well placed, tired"
1992,6,Al Sabin,"Nakatani, Corey","Lukas, D.",1,33.30,6,5,5,6,7,6,23.44,47.90,1:12.37,1:37.72,2:03.04,Fast,,,,"well placed, no rally"
